_id,author,content,description,publishedAt,source.id,source.name,title,url,urlToImage
6471ac4e0508754a06eb0481,null,null,Michael Block hits a beautiful shot from a cart path bridge at the 10th hole of the Charles Schwab Challenge. #GolfChannel #CharlesSchwabChallenge #PGA» Subs...,2023-05-26T00:06:36Z,null,YouTube,Michael Block escapes Charles Schwab 10th hole with a stunning shot | Golf Channel - Golf Channel,https://www.youtube.com/watch?v=phmImHCpYzQ,https://i.ytimg.com/vi/phmImHCpYzQ/maxresdefault.jpg
6471ac4e0508754a06eb0482,"Timothy Puko, Robert Barnes","Comment on this story
Comment
Bogs. Marshes. Swamps. Fens. All are examples of wetlands.
But the type of wetland that gets protection under federal law is a matter of wide dispute, one reset by a … [+5563 chars]","The decision could affect tens of thousands of acres of wetlands, including in the Everglades and the Mississippi River basin.",2023-05-25T23:57:00Z,the-washington-post,The Washington Post,"How Supreme Court's EPA ruling will affect U.S. wetlands, clean water - The Washington Post",https://www.washingtonpost.com/climate-environment/2023/05/25/supreme-court-epa-wetlands/,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/7RSJU7CF6AI6XLBKHLAPFOGO5M.jpg&w=1440
6471ac4e0508754a06eb0483,null,"Owners of Ford electric trucks and SUVs will soon have easy access to the more than 12,000 Tesla V3 Superchargers in the US and Canada thanks to a partnership between the two automakers announced tod… [+3011 chars]","A partnership between the American automakers sees Ford embracing Tesla's massive charging network and compact charging port.",2023-05-25T23:42:00Z,null,CNET,"Ford EVs Getting Supercharger Access in 2024, Tesla Charging Ports in 2025 - CNET",https://www.cnet.com/roadshow/news/ford-tesla-announce-ev-supercharger-partnership/,https://www.cnet.com/a/img/resize/9e79e93d38c2fddcd3b215651d0a55a4036f7039/hub/2021/08/20/d31ffc52-13b9-4afb-b777-0d54a0a546fb/ogi-mach.jpg?auto=webp&fit=crop&height=675&width=1200
6471ac4e0508754a06eb0484,null,"KYIV, May 25 (Reuters) - Russia's Wagner private army started handing over its positions in Bakhmut to regular Russian troops on Thursday, five days after declaring full control of the devastated eas… [+4987 chars]","Russia's Wagner private army started handing over its positions in Bakhmut to regular Russian troops on Thursday, five days after declaring full control of the devastated eastern Ukrainian city following the longest and bloodiest battle of the war.",2023-05-25T23:22:00Z,reuters,Reuters,Russian Wagner mercenaries handing Bakhmut to regular army - Reuters,https://www.reuters.com/world/europe/russias-wagner-army-starts-handing-bakhmut-over-regular-troops-2023-05-25/,https://www.reuters.com/resizer/sJALCz_qWKQqQ1ZMbNMDT0Arkj0=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/VOZA5ZGA2RPWNFJQD2223CULL4.jpg
6471ac4e0508754a06eb0485,null,null,"On today's Daily Fix:Sony may have revealed a ton of games including Metal Gear Solid 3 Remake at its PlayStation Showcase but Microsoft has taken to Twitter...",2023-05-25T23:00:46Z,null,YouTube,Microsoft Clarifies That a Dozen PlayStation Showcase Games Will Also Come to Xbox - IGN Daily Fix - IGN,https://www.youtube.com/watch?v=_lbCRdbTsw0,https://i.ytimg.com/vi/_lbCRdbTsw0/maxresdefault.jpg
6471ac4e0508754a06eb0486,null,"Google has launched Search Generative Experience, or SGE, an experimental version of Search that integrates artificial intelligence answers directly into results, the company said in a blog post on T… [+3852 chars]",This experimental trial of Google Search competes directly with Bing AI and ChatGPT.,2023-05-25T23:00:00Z,null,CNET,Google Launches New AI Search Engine: How to Sign Up - CNET,https://www.cnet.com/tech/services-and-software/google-launches-new-ai-search-engine-how-to-sign-up/,https://www.cnet.com/a/img/resize/8a3083d2b0efa5e4c5a263d909683034826e76f6/hub/2023/05/11/bf08df4e-c00a-4525-9d7b-2b805b5de0a0/google-io-2023-051023-88.jpg?auto=webp&fit=crop&height=675&width=1200
6471ac4e0508754a06eb0487,Brad Dress,"Skip to content
Wagner Group founder Yevgeny Prigozhin once again amplified his public rift with Russian leadership this week, saying the war in Ukraine had backfired and the Kremlin risked facing a… [+5506 chars]","Wagner Group founder Yevgeny Prigozhin once again amplified his public rift with Russian leadership this week, saying the war in Ukraine had backfired and the Kremlin risked facing a revolution. In an interview that lasted more than an hour with a prominent p…",2023-05-25T22:37:00Z,the-hill,The Hill,Why the Wagner boss is saying Russia could lose war - The Hill,https://thehill.com/policy/defense/4021563-why-the-wagner-boss-is-saying-russia-could-lose-war/,https://thehill.com/wp-content/uploads/sites/2/2023/05/prigozhinyevgeny_040823_AP.jpg?w=1280
6471ac4e0508754a06eb0488,Brooke Kato,"Forego forgetfulness with one daily habit.
Memory loss with aging could be curbed with the regular use of multivitamins, a new study suggests.
Findings from the COSMOS-Web study, published Wednesda… [+3155 chars]",Forego forgetfulness with one daily habit.,2023-05-25T21:56:00Z,null,New York Post,"Multivitamins could curb age-related memory loss, study says - New York Post ",https://nypost.com/2023/05/25/multivitamins-could-curb-age-related-memory-loss-study/,https://nypost.com/wp-content/uploads/sites/2/2023/05/NYPICHPDPICT000011744064.jpg?quality=75&strip=all&w=1024
6471ac4e0508754a06eb0489,Daniel R Deakin,It seems graphics card customers are voting with their feet in regard to the newly launched Nvidia GeForce RTX 4060 Ti 8 GB board. It is obvious that many gamers and DIY PC builders are not best-plea… [+1762 chars],"Despite its very recent release, the Nvidia GeForce RTX 4060 Ti 8 GB graphics card has reportedly already been subject to a price cut by one retailer. In addition, it appears the RTX 4060 Ti has also been spurned in the key Japanese market with sales looking …",2023-05-25T21:50:16Z,null,Notebookcheck.net,Shunned GeForce RTX 4060 Ti secures future special offer status as gamers refuse to settle for a pricey 8 GB of VRAM in 2023 - Notebookcheck.net,https://www.notebookcheck.net/Shunned-GeForce-RTX-4060-Ti-secures-future-special-offer-status-as-gamers-refuse-to-settle-for-a-pricey-8-GB-of-VRAM-in-2023.720238.0.html,https://www.notebookcheck.net/fileadmin/Notebooks/News/_nc3/RTX_4060_Ti_Lovelace_AD_sales_drdNBC.jpg
6471ac4e0508754a06eb048a,Andre Gee,"Two-time Rock &amp; Roll Hall of Famer Tina Turnerdied at age 83 on Wednesday, leaving behind an enormous musical legacy. She’s celebrated as the godmother of rock &amp; roll, with more than 100 mill… [+4755 chars]",The legendary singer had to contend with her abuser’s name being kept alive in an almost reverent fashion in hip-hop,2023-05-25T21:42:12Z,null,Rolling Stone,Tina Turner Was Open About Ike’s Abuse — Rappers Made Her A Punchline - Rolling Stone,https://www.rollingstone.com/music/music-features/tina-turner-ike-abuse-rappers-punchline-1234742388/,https://www.rollingstone.com/wp-content/uploads/2023/05/tina-turner-in-hip-hop.jpg?w=1600&h=900&crop=1
